epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3682.93,0.55274,4.15742,1.13152,0.29892,0.35392,0.16034,0.14615,0.442,4.55645,1.00622,5.91567e-05,5.91567e-05,5.91567e-05
2,6596.12,0.47343,3.25606,1.04456,0.28239,0.54916,0.32126,0.29222,0.43223,3.53594,0.98562,0.000112942,0.000112942,0.000112942
3,9798.87,0.5047,2.78246,1.03133,0.28642,0.52896,0.37057,0.33964,0.47142,2.88422,1.01423,0.00016082,0.00016082,0.00016082
4,16836.1,0.50454,2.54811,1.03207,0.32497,0.7443,0.47772,0.44042,0.44355,2.65154,0.98746,0.000152418,0.000152418,0.000152418
5,20594.4,0.50836,2.33388,1.01027,0.31951,0.82602,0.54373,0.50301,0.43427,2.32126,0.96939,0.000143558,0.000143558,0.000143558
6,24082,0.4847,2.09918,1.00505,0.53559,0.62531,0.58053,0.54206,0.42591,2.02437,0.96512,0.000134697,0.000134697,0.000134697
7,27658,0.47731,2.07995,0.99843,0.33818,0.78973,0.62647,0.58407,0.4255,1.85058,0.9597,0.000125837,0.000125837,0.000125837
8,30770.8,0.47514,1.8606,0.99262,0.37558,0.86429,0.67603,0.62346,0.44447,1.74172,0.9798,0.000116976,0.000116976,0.000116976
9,34873.1,0.44794,1.74023,0.98359,0.39154,0.7852,0.66214,0.61601,0.42603,1.68527,0.95951,0.000108116,0.000108116,0.000108116
10,37788.4,0.45672,1.71608,0.98529,0.55187,0.7556,0.72103,0.66597,0.44382,1.57145,0.99117,9.92555e-05,9.92555e-05,9.92555e-05
11,48521.9,0.39465,1.54339,0.97172,0.52649,0.84497,0.72776,0.67628,0.42601,1.4956,0.95939,9.0395e-05,9.0395e-05,9.0395e-05
12,56961.2,0.37826,1.42116,0.95368,0.4626,0.81984,0.76386,0.71485,0.41602,1.38344,0.95204,8.15345e-05,8.15345e-05,8.15345e-05
13,61482.7,0.37797,1.28658,0.95996,0.55716,0.78797,0.78549,0.74052,0.40233,1.27303,0.9467,7.2674e-05,7.2674e-05,7.2674e-05
14,64520.2,0.37402,1.14916,0.95099,0.55508,0.86651,0.7556,0.71231,0.39451,1.15825,0.93544,6.38135e-05,6.38135e-05,6.38135e-05
15,68320.8,0.36388,1.07729,0.9476,0.66099,0.82602,0.84218,0.78634,0.40046,1.00238,0.94327,5.4953e-05,5.4953e-05,5.4953e-05
16,73321.2,0.35157,0.92504,0.93451,0.62917,0.90742,0.87962,0.82565,0.39752,0.95979,0.93171,4.60925e-05,4.60925e-05,4.60925e-05
17,86895.8,0.34872,0.86284,0.94645,0.76237,0.88992,0.91527,0.85648,0.39607,0.86144,0.9331,3.7232e-05,3.7232e-05,3.7232e-05
18,89837.7,0.34198,0.76093,0.93073,0.73211,0.89752,0.94015,0.88336,0.40247,0.78373,0.93575,2.83715e-05,2.83715e-05,2.83715e-05
19,96752.1,0.33754,0.7043,0.91623,0.77597,0.88115,0.93566,0.88412,0.38948,0.74977,0.92411,1.9511e-05,1.9511e-05,1.9511e-05
20,100694,0.32027,0.65625,0.90982,0.84255,0.84852,0.94114,0.89131,0.38389,0.73385,0.921,1.06505e-05,1.06505e-05,1.06505e-05
